Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,bertscore_precision,bertscore_recall,bertscore_f1,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
granite-embedding,0.186 ± 0.313,0.138 ± 0.262,0.271 ± 0.434,0.077 ± 0.116,0.186 ± 0.313,0.101 ± 0.151,0.133 ± 0.203,0.031 ± 0.043,0.207 ± 0.317,0.052 ± 0.072,0.090 ± 0.123,0.077 ± 0.116,0.031 ± 0.043,0.105 ± 0.146,0.386 ± 0.161,0.366 ± 0.169,0.519 ± 0.249,0.209 ± 0.177,0.188 ± 0.157,0.292 ± 0.243,0.314 ± 0.165,0.295 ± 0.161,0.423 ± 0.237,0.591 ± 0.106,0.644 ± 0.125,0.611 ± 0.098,3.537 ± 3.394,0.001 ± 0.001,5229.182 ± 3629.431,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
n-results: 150,0.274 ± 0.368,0.203 ± 0.320,0.303 ± 0.427,0.116 ± 0.160,0.274 ± 0.368,0.150 ± 0.199,0.195 ± 0.252,0.010 ± 0.011,0.365 ± 0.390,0.020 ± 0.022,0.046 ± 0.050,0.116 ± 0.160,0.011 ± 0.012,0.113 ± 0.144,0.396 ± 0.173,0.374 ± 0.188,0.525 ± 0.258,0.227 ± 0.181,0.204 ± 0.166,0.311 ± 0.253,0.321 ± 0.168,0.303 ± 0.173,0.421 ± 0.229,0.606 ± 0.104,0.655 ± 0.118,0.624 ± 0.093,7.712 ± 3.680,0.004 ± 0.005,26467.523 ± 30901.806,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
n-results: 60,0.251 ± 0.353,0.180 ± 0.297,0.281 ± 0.416,0.114 ± 0.161,0.251 ± 0.353,0.146 ± 0.200,0.187 ± 0.252,0.023 ± 0.028,0.314 ± 0.387,0.042 ± 0.051,0.085 ± 0.102,0.114 ± 0.161,0.023 ± 0.029,0.116 ± 0.146,0.404 ± 0.171,0.379 ± 0.190,0.530 ± 0.242,0.237 ± 0.183,0.218 ± 0.171,0.315 ± 0.246,0.332 ± 0.170,0.312 ± 0.181,0.433 ± 0.221,0.601 ± 0.110,0.664 ± 0.109,0.625 ± 0.090,3.487 ± 1.367,0.002 ± 0.002,10329.500 ± 10213.012,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
n-results: 120,0.251 ± 0.353,0.180 ± 0.297,0.281 ± 0.416,0.114 ± 0.161,0.251 ± 0.353,0.146 ± 0.200,0.187 ± 0.252,0.014 ± 0.015,0.338 ± 0.381,0.025 ± 0.028,0.053 ± 0.059,0.114 ± 0.161,0.013 ± 0.015,0.109 ± 0.141,0.391 ± 0.168,0.365 ± 0.184,0.536 ± 0.262,0.220 ± 0.179,0.199 ± 0.168,0.311 ± 0.252,0.325 ± 0.165,0.304 ± 0.171,0.441 ± 0.230,0.592 ± 0.106,0.649 ± 0.112,0.612 ± 0.088,5.256 ± 2.572,0.003 ± 0.003,19949.864 ± 19045.494,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
reranking,0.241 ± 0.356,0.200 ± 0.339,0.273 ± 0.415,0.107 ± 0.161,0.241 ± 0.356,0.138 ± 0.201,0.178 ± 0.255,0.044 ± 0.059,0.305 ± 0.391,0.074 ± 0.096,0.128 ± 0.161,0.107 ± 0.161,0.044 ± 0.058,0.115 ± 0.146,0.413 ± 0.157,0.394 ± 0.175,0.527 ± 0.246,0.243 ± 0.175,0.222 ± 0.162,0.322 ± 0.246,0.337 ± 0.156,0.321 ± 0.166,0.429 ± 0.227,0.612 ± 0.104,0.665 ± 0.116,0.631 ± 0.088,4.765 ± 1.829,0.001 ± 0.001,6412.250 ± 4388.609,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
text-embedding-3-large,0.226 ± 0.353,0.175 ± 0.322,0.258 ± 0.417,0.082 ± 0.128,0.225 ± 0.353,0.111 ± 0.169,0.151 ± 0.226,0.040 ± 0.053,0.281 ± 0.368,0.067 ± 0.088,0.118 ± 0.151,0.082 ± 0.128,0.040 ± 0.053,0.125 ± 0.153,0.435 ± 0.160,0.397 ± 0.151,0.548 ± 0.245,0.254 ± 0.193,0.225 ± 0.169,0.331 ± 0.263,0.356 ± 0.178,0.321 ± 0.160,0.450 ± 0.244,0.616 ± 0.095,0.665 ± 0.127,0.636 ± 0.100,4.011 ± 1.609,0.001 ± 0.001,5406.727 ± 3674.437,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
question_augmentation,0.201 ± 0.327,0.117 ± 0.241,0.183 ± 0.332,0.082 ± 0.135,0.201 ± 0.327,0.106 ± 0.166,0.139 ± 0.212,0.040 ± 0.058,0.262 ± 0.367,0.066 ± 0.093,0.113 ± 0.154,0.082 ± 0.135,0.039 ± 0.057,0.124 ± 0.156,0.433 ± 0.173,0.402 ± 0.189,0.539 ± 0.235,0.240 ± 0.198,0.219 ± 0.188,0.299 ± 0.245,0.342 ± 0.163,0.314 ± 0.164,0.430 ± 0.221,0.616 ± 0.105,0.665 ± 0.115,0.636 ± 0.099,4.838 ± 1.920,0.001 ± 0.001,6211.136 ± 3305.747,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
distance-metric: IP,0.251 ± 0.353,0.180 ± 0.297,0.281 ± 0.416,0.114 ± 0.161,0.251 ± 0.353,0.146 ± 0.200,0.187 ± 0.252,0.044 ± 0.059,0.305 ± 0.391,0.074 ± 0.096,0.128 ± 0.161,0.114 ± 0.161,0.044 ± 0.058,0.128 ± 0.154,0.437 ± 0.172,0.415 ± 0.189,0.553 ± 0.247,0.258 ± 0.191,0.238 ± 0.179,0.332 ± 0.245,0.361 ± 0.158,0.341 ± 0.169,0.458 ± 0.225,0.624 ± 0.107,0.679 ± 0.114,0.645 ± 0.091,2.723 ± 1.117,0.001 ± 0.000,5580.341 ± 3059.221,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
distance-metric: L2,0.251 ± 0.353,0.180 ± 0.297,0.281 ± 0.416,0.114 ± 0.161,0.251 ± 0.353,0.146 ± 0.200,0.187 ± 0.252,0.044 ± 0.059,0.305 ± 0.391,0.074 ± 0.096,0.128 ± 0.161,0.114 ± 0.161,0.044 ± 0.058,0.132 ± 0.153,0.443 ± 0.167,0.419 ± 0.188,0.567 ± 0.242,0.265 ± 0.189,0.244 ± 0.178,0.344 ± 0.243,0.361 ± 0.154,0.342 ± 0.168,0.464 ± 0.220,0.626 ± 0.106,0.684 ± 0.111,0.648 ± 0.089,2.753 ± 1.199,0.001 ± 0.001,5711.818 ± 5330.949,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
Baseline,0.251 ± 0.353,0.180 ± 0.297,0.281 ± 0.416,0.114 ± 0.161,0.251 ± 0.353,0.146 ± 0.200,0.187 ± 0.252,0.044 ± 0.059,0.305 ± 0.391,0.074 ± 0.096,0.128 ± 0.161,0.114 ± 0.161,0.044 ± 0.058,0.129 ± 0.152,0.440 ± 0.165,0.420 ± 0.185,0.559 ± 0.241,0.262 ± 0.189,0.243 ± 0.177,0.339 ± 0.245,0.361 ± 0.153,0.344 ± 0.167,0.459 ± 0.221,0.624 ± 0.107,0.678 ± 0.115,0.644 ± 0.092,3.215 ± 1.638,0.001 ± 0.000,5456.159 ± 3216.155,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
