Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,bertscore_precision,bertscore_recall,bertscore_f1,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
alpha: 0.1,0.095 (-26.4%),0.074 (-12.9%),0.105 (-20.5%),0.080 (-4.8%),0.095 (-26.4%),0.078 (-8.2%),0.083 (-14.4%),0.080 (-4.8%),0.095 (-26.4%),0.078 (-8.2%),0.083 (-14.4%),0.080 (-2.4%),0.080 (-2.4%),0.340 (+111.2%),0.633 (+31.6%),0.659 (+22.5%),0.665 (+22.0%),0.488 (+61.6%),0.512 (+52.8%),0.505 (+45.5%),0.560 (+49.7%),0.581 (+38.0%),0.585 (+38.3%),0.749 (+9.3%),0.768 (+12.9%),0.756 (+11.8%),117.791 (+128.9%),0.008 (-33.3%),51369.409 (-27.8%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
alpha: 0.6,0.110 (-14.7%),0.072 (-15.3%),0.145 (+9.8%),0.071 (-15.5%),0.110 (-14.7%),0.072 (-15.3%),0.084 (-13.4%),0.071 (-15.5%),0.110 (-14.7%),0.072 (-15.3%),0.084 (-13.4%),0.064 (-22.0%),0.064 (-22.0%),0.325 (+101.9%),0.637 (+32.4%),0.676 (+25.7%),0.666 (+22.2%),0.472 (+56.3%),0.503 (+50.1%),0.493 (+42.1%),0.547 (+46.3%),0.581 (+38.0%),0.573 (+35.5%),0.754 (+10.1%),0.769 (+13.1%),0.758 (+12.1%),125.591 (+144.1%),0.011 (-8.3%),65684.636 (-7.7%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
reranking,0.117 (-9.3%),0.085 (+0.0%),0.168 (+27.3%),0.089 (+6.0%),0.118 (-8.5%),0.089 (+4.7%),0.098 (+1.0%),0.089 (+6.0%),0.118 (-8.5%),0.089 (+4.7%),0.098 (+1.0%),0.084 (+2.4%),0.084 (+2.4%),0.315 (+95.7%),0.622 (+29.3%),0.662 (+23.0%),0.657 (+20.6%),0.465 (+54.0%),0.498 (+48.7%),0.483 (+39.2%),0.523 (+39.8%),0.559 (+32.8%),0.547 (+29.3%),0.752 (+9.8%),0.760 (+11.8%),0.752 (+11.2%),125.389 (+143.7%),0.011 (-8.3%),64636.136 (-9.2%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
top_n: 20,0.117 (-9.3%),0.062 (-27.1%),0.077 (-41.7%),0.051 (-39.3%),0.118 (-8.5%),0.064 (-24.7%),0.083 (-14.4%),0.051 (-39.3%),0.118 (-8.5%),0.064 (-24.7%),0.083 (-14.4%),0.052 (-36.6%),0.052 (-36.6%),0.328 (+103.7%),0.629 (+30.8%),0.671 (+24.7%),0.657 (+20.6%),0.475 (+57.3%),0.507 (+51.3%),0.495 (+42.7%),0.540 (+44.4%),0.573 (+36.1%),0.565 (+33.6%),0.751 (+9.6%),0.765 (+12.5%),0.754 (+11.5%),145.724 (+183.2%),0.010 (-16.7%),62813.182 (-11.7%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
question-augmentation,0.072 (-44.2%),0.035 (-58.8%),0.045 (-65.9%),0.023 (-72.6%),0.072 (-44.2%),0.033 (-61.2%),0.047 (-51.5%),0.023 (-72.6%),0.072 (-44.2%),0.033 (-61.2%),0.047 (-51.5%),0.029 (-64.6%),0.029 (-64.6%),0.175 (+8.7%),0.520 (+8.1%),0.482 (-10.4%),0.652 (+19.6%),0.281 (-7.0%),0.271 (-19.1%),0.344 (-0.9%),0.416 (+11.2%),0.390 (-7.4%),0.518 (+22.5%),0.681 (-0.6%),0.742 (+9.1%),0.706 (+4.4%),117.368 (+128.1%),0.009 (-25.0%),53702.818 (-24.5%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
top_k: 30,0.053 (-58.9%),0.043 (-49.4%),0.068 (-48.5%),0.039 (-53.6%),0.053 (-58.9%),0.044 (-48.2%),0.048 (-50.5%),0.030 (-64.3%),0.068 (-47.3%),0.034 (-60.0%),0.043 (-55.7%),0.041 (-50.0%),0.031 (-62.2%),0.329 (+104.3%),0.613 (+27.4%),0.645 (+19.9%),0.657 (+20.6%),0.466 (+54.3%),0.493 (+47.2%),0.494 (+42.4%),0.541 (+44.7%),0.572 (+35.9%),0.574 (+35.7%),0.739 (+7.9%),0.757 (+11.3%),0.744 (+10.1%),258.673 (+402.7%),0.022 (+83.3%),135067.795 (+89.8%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
O3-mini,0.136 (+5.4%),0.073 (-14.1%),0.101 (-23.5%),0.070 (-16.7%),0.136 (+5.4%),0.082 (-3.5%),0.101 (+4.1%),0.070 (-16.7%),0.136 (+5.4%),0.082 (-3.5%),0.101 (+4.1%),0.068 (-17.1%),0.068 (-17.1%),0.067 (-58.4%),0.288 (-40.1%),0.489 (-9.1%),0.243 (-55.4%),0.147 (-51.3%),0.249 (-25.7%),0.123 (-64.6%),0.256 (-31.6%),0.445 (+5.7%),0.213 (-49.6%),0.653 (-4.7%),0.543 (-20.1%),0.586 (-13.3%),186.613 (+262.7%),0.096 (+700.0%),87333.500 (+22.7%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
top-k: 20,0.072 (-44.2%),0.057 (-32.9%),0.086 (-34.8%),0.055 (-34.5%),0.072 (-44.2%),0.059 (-30.6%),0.064 (-34.0%),0.052 (-38.1%),0.083 (-35.7%),0.057 (-32.9%),0.065 (-33.0%),0.055 (-32.9%),0.052 (-36.6%),0.327 (+103.1%),0.627 (+30.4%),0.672 (+24.9%),0.650 (+19.3%),0.484 (+60.3%),0.524 (+56.4%),0.494 (+42.4%),0.550 (+47.1%),0.589 (+39.9%),0.565 (+33.6%),0.762 (+11.2%),0.769 (+13.1%),0.762 (+12.7%),292.392 (+468.3%),0.016 (+33.3%),96924.045 (+36.2%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
Base Config,0.129,0.085,0.132,0.084,0.129,0.085,0.097,0.084,0.129,0.085,0.097,0.082,0.082,0.161,0.481,0.538,0.545,0.302,0.335,0.347,0.374,0.421,0.423,0.685,0.680,0.676,51.454,0.012,71153.568,0.001,0.002,0.001,0.005,0.002
GPT-4o,0.076 (-41.1%),0.068 (-20.0%),0.121 (-8.3%),0.046 (-45.2%),0.076 (-41.1%),0.055 (-35.3%),0.064 (-34.0%),0.046 (-45.2%),0.076 (-41.1%),0.055 (-35.3%),0.064 (-34.0%),0.043 (-47.6%),0.043 (-47.6%),0.305 (+89.4%),0.627 (+30.4%),0.677 (+25.8%),0.648 (+18.9%),0.469 (+55.3%),0.506 (+51.0%),0.483 (+39.2%),0.529 (+41.4%),0.571 (+35.6%),0.547 (+29.3%),0.753 (+9.9%),0.755 (+11.0%),0.751 (+11.1%),133.165 (+158.8%),0.170 (+1316.7%),62560.386 (-12.1%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%),0.000 (-100.0%)
