Config,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,bertscore_precision,bertscore_recall,bertscore_f1,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
no-output-filtering,0.197 ± 0.304,0.040 ± 0.066,0.086 ± 0.105,0.073 ± 0.097,0.197 ± 0.304,0.094 ± 0.121,0.126 ± 0.164,0.030 ± 0.030,0.559 ± 0.416,0.053 ± 0.052,0.110 ± 0.101,0.073 ± 0.097,0.029 ± 0.030,0.078 ± 0.098,0.274 ± 0.173,0.228 ± 0.158,0.673 ± 0.299,0.169 ± 0.148,0.130 ± 0.124,0.417 ± 0.248,0.227 ± 0.152,0.192 ± 0.139,0.552 ± 0.261,0.479 ± 0.095,0.635 ± 0.122,0.532 ± 0.075,301.441 ± 129.598,0.003 ± 0.002,18023.136 ± 10080.372,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
path-weight-alpha: 3,0.342 ± 0.312,0.257 ± 0.281,0.500 ± 0.474,0.315 ± 0.356,0.342 ± 0.312,0.289 ± 0.276,0.303 ± 0.272,0.275 ± 0.353,0.455 ± 0.359,0.263 ± 0.262,0.305 ± 0.262,0.315 ± 0.356,0.276 ± 0.353,0.076 ± 0.091,0.277 ± 0.174,0.221 ± 0.156,0.686 ± 0.273,0.167 ± 0.140,0.127 ± 0.117,0.416 ± 0.236,0.223 ± 0.146,0.181 ± 0.131,0.564 ± 0.256,0.470 ± 0.090,0.638 ± 0.116,0.529 ± 0.071,295.472 ± 115.794,0.004 ± 0.002,23294.364 ± 13913.706,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
no-question-components,0.359 ± 0.383,0.254 ± 0.299,0.402 ± 0.430,0.210 ± 0.269,0.359 ± 0.383,0.239 ± 0.270,0.283 ± 0.299,0.200 ± 0.268,0.440 ± 0.415,0.235 ± 0.273,0.291 ± 0.309,0.210 ± 0.269,0.199 ± 0.268,0.071 ± 0.086,0.268 ± 0.162,0.196 ± 0.126,0.707 ± 0.267,0.167 ± 0.143,0.116 ± 0.108,0.432 ± 0.246,0.226 ± 0.148,0.168 ± 0.115,0.589 ± 0.251,0.467 ± 0.093,0.649 ± 0.111,0.532 ± 0.077,32.861 ± 11.848,0.004 ± 0.005,22475.864 ± 28518.965,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
path-weight-alpha: 0,0.217 ± 0.258,0.157 ± 0.232,0.335 ± 0.434,0.200 ± 0.300,0.216 ± 0.258,0.185 ± 0.230,0.194 ± 0.227,0.174 ± 0.292,0.316 ± 0.333,0.171 ± 0.217,0.205 ± 0.224,0.200 ± 0.300,0.174 ± 0.292,0.056 ± 0.083,0.243 ± 0.151,0.210 ± 0.140,0.608 ± 0.307,0.132 ± 0.128,0.103 ± 0.103,0.342 ± 0.246,0.197 ± 0.127,0.172 ± 0.117,0.494 ± 0.274,0.476 ± 0.089,0.623 ± 0.130,0.525 ± 0.067,301.046 ± 122.747,0.004 ± 0.003,23182.886 ± 17045.890,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
top-paths-to-keep: 20,0.343 ± 0.320,0.248 ± 0.271,0.493 ± 0.451,0.319 ± 0.360,0.343 ± 0.320,0.294 ± 0.290,0.308 ± 0.287,0.297 ± 0.362,0.483 ± 0.354,0.289 ± 0.288,0.333 ± 0.286,0.319 ± 0.360,0.297 ± 0.361,0.078 ± 0.079,0.282 ± 0.156,0.214 ± 0.134,0.735 ± 0.266,0.173 ± 0.123,0.126 ± 0.097,0.452 ± 0.223,0.233 ± 0.130,0.180 ± 0.115,0.604 ± 0.230,0.465 ± 0.086,0.640 ± 0.118,0.528 ± 0.074,485.804 ± 165.459,0.006 ± 0.004,38094.182 ± 23474.932,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
path-weight-alpha: 9,0.348 ± 0.335,0.266 ± 0.312,0.505 ± 0.457,0.315 ± 0.357,0.349 ± 0.335,0.312 ± 0.320,0.326 ± 0.321,0.291 ± 0.348,0.501 ± 0.370,0.310 ± 0.309,0.362 ± 0.314,0.315 ± 0.357,0.292 ± 0.348,0.076 ± 0.098,0.267 ± 0.183,0.215 ± 0.151,0.681 ± 0.295,0.167 ± 0.152,0.123 ± 0.120,0.422 ± 0.237,0.218 ± 0.158,0.180 ± 0.130,0.559 ± 0.268,0.471 ± 0.098,0.637 ± 0.125,0.527 ± 0.080,306.779 ± 128.052,0.004 ± 0.003,21808.705 ± 15719.334,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
Baseline,0.365 ± 0.337,0.276 ± 0.304,0.531 ± 0.459,0.328 ± 0.354,0.365 ± 0.337,0.312 ± 0.300,0.328 ± 0.303,0.295 ± 0.351,0.501 ± 0.361,0.295 ± 0.289,0.344 ± 0.292,0.328 ± 0.354,0.295 ± 0.351,0.077 ± 0.092,0.274 ± 0.167,0.222 ± 0.150,0.681 ± 0.278,0.169 ± 0.141,0.129 ± 0.117,0.417 ± 0.237,0.228 ± 0.147,0.187 ± 0.133,0.564 ± 0.253,0.473 ± 0.093,0.644 ± 0.121,0.532 ± 0.074,299.328 ± 128.741,0.003 ± 0.003,21479.330 ± 17781.864,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
diversity-ranking: 0.0,0.297 ± 0.340,0.221 ± 0.298,0.397 ± 0.429,0.289 ± 0.355,0.297 ± 0.340,0.270 ± 0.309,0.280 ± 0.319,0.258 ± 0.343,0.399 ± 0.390,0.255 ± 0.293,0.296 ± 0.317,0.289 ± 0.354,0.258 ± 0.343,0.066 ± 0.077,0.247 ± 0.159,0.201 ± 0.137,0.663 ± 0.303,0.152 ± 0.134,0.112 ± 0.105,0.415 ± 0.249,0.206 ± 0.135,0.170 ± 0.115,0.560 ± 0.277,0.466 ± 0.100,0.627 ± 0.135,0.520 ± 0.082,305.370 ± 125.689,0.004 ± 0.003,23358.568 ± 16066.968,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
diversity-ranking: 0.01,0.353 ± 0.344,0.265 ± 0.318,0.467 ± 0.463,0.321 ± 0.367,0.353 ± 0.344,0.305 ± 0.316,0.320 ± 0.317,0.288 ± 0.362,0.461 ± 0.369,0.290 ± 0.305,0.334 ± 0.311,0.321 ± 0.367,0.288 ± 0.362,0.071 ± 0.076,0.272 ± 0.149,0.202 ± 0.127,0.710 ± 0.266,0.165 ± 0.125,0.114 ± 0.099,0.441 ± 0.239,0.222 ± 0.125,0.167 ± 0.105,0.584 ± 0.242,0.463 ± 0.085,0.644 ± 0.115,0.528 ± 0.068,266.827 ± 115.614,0.004 ± 0.002,23833.795 ± 12809.851,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
diversity-ranking: 0.1,0.341 ± 0.321,0.240 ± 0.275,0.499 ± 0.469,0.322 ± 0.373,0.340 ± 0.321,0.289 ± 0.289,0.302 ± 0.284,0.302 ± 0.371,0.517 ± 0.360,0.290 ± 0.283,0.338 ± 0.280,0.322 ± 0.373,0.302 ± 0.371,0.077 ± 0.097,0.266 ± 0.170,0.215 ± 0.157,0.682 ± 0.270,0.166 ± 0.145,0.127 ± 0.121,0.425 ± 0.242,0.221 ± 0.147,0.180 ± 0.136,0.564 ± 0.248,0.467 ± 0.092,0.635 ± 0.117,0.525 ± 0.073,317.019 ± 116.644,0.004 ± 0.002,23004.568 ± 14630.572,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
