recall_triples,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,answer_relevancy,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,non_llm_string_similarity,factual_correctness(mode=f1),factual_correctness(mode=precision),factual_correctness(mode=recall),faithfulness,bertscore_precision,bertscore_recall,bertscore_f1,semantic_similarity,instruction_following,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
1.000000,0.545455,0.443182,0.530318,0.127273,0.545455,0.196818,0.308636,0.013182,0.026364,0.059545,0.127273,0.013318,0.642727,0.343636,0.625000,0.560000,0.845909,0.508182,0.455000,0.682727,0.581364,0.525909,0.768182,0.533182,0.695909,0.658636,0.790000,0.462273,0.709591,0.830545,0.760045,0.880909,0.727273,7.233232,0.004121,26034.818182,0.000206,0.000076,0.000190,0.000472,0.000180
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068361,0.161639,0.424754,0.370164,0.581803,0.280656,0.244426,0.382459,0.354426,0.309344,0.484754,0.333443,0.148852,0.150656,0.159344,0.815246,0.600164,0.674492,0.631918,0.731148,0.081967,2.753475,0.003845,25310.524590,0.000079,0.000029,0.000072,0.000180,0.000069
0.500000,0.390182,0.295727,0.656364,0.242424,0.390606,0.291212,0.340909,0.018485,0.037576,0.082424,0.242424,0.018939,0.380000,0.137879,0.475758,0.390909,0.730909,0.297879,0.240909,0.471818,0.384848,0.312727,0.606970,0.329697,0.514545,0.459394,0.641515,0.413030,0.571515,0.722394,0.632727,0.825758,0.575758,3.057664,0.003720,24415.242424,0.000087,0.000033,0.000080,0.000200,0.000076
0.330000,0.199950,0.084800,0.315650,0.135000,0.199500,0.159000,0.181500,0.012000,0.032000,0.064000,0.135000,0.014400,0.000000,0.084000,0.380500,0.285000,0.672000,0.204000,0.154000,0.362000,0.275500,0.205500,0.488500,0.267000,0.226500,0.189000,0.347500,0.650500,0.520500,0.669350,0.580900,0.743000,0.100000,3.159413,0.003708,24290.500000,0.000090,0.000034,0.000083,0.000207,0.000079
0.290000,0.071500,0.035167,0.208333,0.050000,0.071667,0.060000,0.065000,0.010000,0.030000,0.060000,0.050000,0.013000,0.161667,0.100000,0.396667,0.320000,0.608333,0.220000,0.176667,0.343333,0.270000,0.220000,0.413333,0.275000,0.203333,0.175000,0.143333,0.766667,0.556333,0.666833,0.601500,0.703333,0.166667,2.362057,0.003651,24134.000000,0.000068,0.000025,0.000062,0.000155,0.000059
0.830000,0.500200,0.371000,0.666600,0.300000,0.502000,0.372000,0.444000,0.030000,0.060000,0.140000,0.300000,0.033000,0.188000,0.050000,0.324000,0.212000,0.702000,0.138000,0.086000,0.332000,0.254000,0.168000,0.556000,0.208000,0.394000,0.288000,0.634000,0.498000,0.455600,0.617000,0.523600,0.786000,1.000000,3.193373,0.003842,25199.200000,0.000091,0.000034,0.000084,0.000209,0.000080
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.050000,0.110000,0.000000,0.027000,0.000000,0.030000,0.240000,0.190000,0.320000,0.080000,0.070000,0.110000,0.160000,0.130000,0.210000,0.320000,0.000000,0.000000,0.000000,1.000000,0.562000,0.590000,0.576000,0.660000,0.000000,1.786525,0.003571,23693.000000,0.000051,0.000019,0.000047,0.000117,0.000045
0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.010000,0.030000,0.000000,0.007000,0.000000,0.110000,0.545000,0.430000,0.755000,0.310000,0.240000,0.440000,0.425000,0.335000,0.590000,0.395000,0.000000,0.000000,0.000000,1.000000,0.612500,0.703500,0.654000,0.725000,0.000000,1.829351,0.003611,23918.500000,0.000052,0.000020,0.000048,0.000120,0.000046
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.040000,0.080000,0.000000,0.020000,0.000000,0.010000,0.200000,0.120000,0.640000,0.060000,0.040000,0.210000,0.130000,0.080000,0.400000,0.140000,0.000000,0.000000,0.000000,0.440000,0.439000,0.600000,0.507000,0.640000,0.000000,4.127116,0.004083,26602.000000,0.000118,0.000044,0.000108,0.000270,0.000103
0.670000,0.416500,0.350000,0.875000,0.250000,0.415000,0.310000,0.365000,0.030000,0.050000,0.110000,0.250000,0.027000,0.000000,0.092500,0.380000,0.247500,0.837500,0.227500,0.150000,0.482500,0.282500,0.187500,0.615000,0.225000,0.467500,0.367500,0.665000,0.580000,0.511000,0.692750,0.588250,0.805000,0.750000,3.065087,0.003761,24678.000000,0.000088,0.000033,0.000081,0.000201,0.000076
