recall_triples,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,answer_relevancy,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,non_llm_string_similarity,factual_correctness(mode=f1),factual_correctness(mode=precision),factual_correctness(mode=recall),faithfulness,bertscore_precision,bertscore_recall,bertscore_f1,semantic_similarity,instruction_following,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
1.000000,1.000000,0.818700,0.870000,0.498000,1.000000,0.626000,0.784000,0.498000,0.626000,0.784000,0.545700,0.545700,0.469000,0.161000,0.425000,0.870000,0.314000,0.349000,0.774000,0.262000,0.371000,0.801000,0.266000,0.279000,0.585000,0.733000,0.450000,0.490000,0.798500,0.612500,0.689500,0.610000,0.800000,126.334256,0.114928,104480.000000,0.003596,0.000902,0.003307,0.007804,0.002973
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.424460,0.035036,0.223094,0.469137,0.170791,0.107914,0.243094,0.080000,0.186619,0.410216,0.140144,0.184964,0.102878,0.135683,0.084173,0.074892,0.611863,0.500403,0.545022,0.467986,0.374101,128.288117,0.112500,102272.834532,0.003651,0.000915,0.003357,0.007923,0.003018
0.440000,0.444000,0.249000,0.500000,0.400000,0.440000,0.420000,0.430000,0.400000,0.420000,0.430000,0.400000,0.400000,0.760000,0.060000,0.310000,0.330000,0.300000,0.140000,0.140000,0.130000,0.220000,0.230000,0.220000,0.200000,0.000000,0.000000,0.000000,0.250000,0.476000,0.476000,0.476000,0.610000,0.000000,159.431463,0.110301,100274.000000,0.004538,0.001140,0.004175,0.009853,0.003753
0.500000,0.500000,0.168750,0.337500,0.205000,0.500000,0.282500,0.377500,0.205000,0.282500,0.377500,0.200000,0.200000,0.487500,0.122500,0.457500,0.737500,0.402500,0.347500,0.522500,0.305000,0.435000,0.717500,0.375000,0.377500,0.517500,0.625000,0.500000,0.375000,0.730250,0.624000,0.666000,0.745000,0.500000,144.025281,0.113953,103594.000000,0.004098,0.001025,0.003769,0.008892,0.003387
0.330000,0.333000,0.189000,0.722333,0.203333,0.330000,0.253333,0.290000,0.203333,0.253333,0.290000,0.200000,0.200000,0.646667,0.043333,0.390000,0.790000,0.266667,0.200000,0.523333,0.130000,0.360000,0.750000,0.246667,0.290000,0.580000,0.833333,0.466667,0.000000,0.770333,0.630000,0.690667,0.733333,0.333333,128.742292,0.107592,97810.666667,0.003663,0.000920,0.003367,0.007950,0.003029
0.170000,0.167000,0.058000,0.347571,0.134286,0.170000,0.141429,0.158571,0.134286,0.141429,0.158571,0.114286,0.114286,0.371429,0.050000,0.270000,0.355714,0.255714,0.095714,0.142857,0.090000,0.201429,0.278571,0.190000,0.220000,0.148571,0.158571,0.161429,0.198571,0.570143,0.530857,0.547429,0.577143,0.142857,150.238240,0.111433,101303.142857,0.004276,0.001070,0.003932,0.009277,0.003534
0.100000,0.100000,0.022000,0.222000,0.150000,0.100000,0.115000,0.105000,0.150000,0.115000,0.105000,0.100000,0.100000,0.330000,0.025000,0.230000,0.535000,0.150000,0.085000,0.175000,0.055000,0.185000,0.395000,0.120000,0.210000,0.250000,0.250000,0.250000,0.000000,0.664500,0.516500,0.577000,0.495000,0.500000,120.049682,0.109260,99327.500000,0.003415,0.000857,0.003138,0.007410,0.002823
0.120000,0.125000,0.033500,0.266500,0.115000,0.120000,0.120000,0.120000,0.115000,0.120000,0.120000,0.100000,0.100000,0.545000,0.025000,0.260000,0.535000,0.170000,0.120000,0.250000,0.075000,0.190000,0.380000,0.125000,0.245000,0.000000,0.250000,0.165000,0.000000,0.730000,0.533500,0.615500,0.590000,0.500000,124.900787,0.110062,100056.500000,0.003555,0.000891,0.003270,0.007715,0.002939
0.430000,0.429000,0.205000,0.333000,0.380000,0.430000,0.400000,0.420000,0.380000,0.400000,0.420000,0.300000,0.300000,0.000000,0.090000,0.600000,0.600000,0.600000,0.210000,0.210000,0.210000,0.470000,0.470000,0.470000,0.320000,0.330000,0.330000,0.330000,0.330000,0.660000,0.781000,0.716000,0.770000,0.000000,155.366257,0.104365,94877.000000,0.004422,0.001107,0.004057,0.009586,0.003652
0.200000,0.200000,0.200000,1.000000,0.220000,0.200000,0.210000,0.200000,0.220000,0.210000,0.200000,0.200000,0.200000,0.750000,0.130000,0.580000,0.700000,0.500000,0.300000,0.370000,0.260000,0.540000,0.650000,0.460000,0.460000,0.400000,0.500000,0.330000,0.330000,0.734000,0.627000,0.676000,0.840000,0.000000,161.653988,0.113798,103453.000000,0.004600,0.001156,0.004228,0.009985,0.003804
