recall_triples,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,answer_relevancy,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,non_llm_string_similarity,factual_correctness(mode=f1),factual_correctness(mode=precision),factual_correctness(mode=recall),faithfulness,bertscore_precision,bertscore_recall,bertscore_f1,semantic_similarity,instruction_following,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
1.000000,0.737690,0.428024,0.553845,0.396429,0.737738,0.485714,0.590238,0.348929,0.460714,0.622619,0.396512,0.349619,0.612143,0.092143,0.311190,0.210238,0.843095,0.212500,0.145238,0.532738,0.261071,0.177262,0.687976,0.214405,0.438929,0.332500,0.730714,0.415952,0.427893,0.661881,0.516107,0.783095,0.714286,151.471042,0.077052,70047.107143,0.004336,0.001085,0.003990,0.009412,0.003585
0.620000,0.375000,0.284500,0.750000,0.465000,0.370000,0.410000,0.390000,0.430000,0.385000,0.400000,0.466500,0.433000,0.495000,0.100000,0.295000,0.220000,0.720000,0.195000,0.150000,0.340000,0.220000,0.165000,0.530000,0.180000,0.355000,0.415000,0.310000,0.750000,0.424000,0.669000,0.517000,0.765000,0.500000,130.530857,0.065482,59529.500000,0.003715,0.000934,0.003418,0.008067,0.003073
0.330000,0.166600,0.020600,0.075800,0.060000,0.166000,0.084000,0.122000,0.064000,0.096000,0.146000,0.060000,0.064000,0.528000,0.014000,0.160000,0.094000,0.778000,0.068000,0.040000,0.380000,0.106000,0.062000,0.540000,0.114000,0.232000,0.260000,0.566000,0.276000,0.373400,0.585600,0.454200,0.728000,0.600000,227.352904,0.115670,105154.200000,0.006471,0.001623,0.005953,0.014047,0.005351
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.275000,0.038571,0.212143,0.195000,0.577857,0.104286,0.079286,0.282143,0.161429,0.140714,0.461429,0.120000,0.088571,0.062143,0.107143,0.519286,0.473571,0.572000,0.505929,0.510000,0.357143,182.098999,0.091418,83107.428571,0.005182,0.001300,0.004768,0.011251,0.004286
0.500000,0.342800,0.185933,0.521067,0.211333,0.342667,0.252000,0.296667,0.170000,0.224667,0.305333,0.211133,0.169733,0.649333,0.060000,0.240667,0.156667,0.824667,0.156000,0.102000,0.519333,0.188667,0.123333,0.655333,0.170667,0.197333,0.154000,0.510667,0.456000,0.401267,0.626800,0.485867,0.755333,0.666667,180.145257,0.099045,90040.466667,0.005127,0.001287,0.004717,0.011131,0.004240
0.670000,0.345909,0.201091,0.512864,0.238636,0.345455,0.277727,0.311818,0.133636,0.202727,0.320000,0.238636,0.133182,0.599091,0.023182,0.149091,0.087727,0.833636,0.080455,0.046818,0.430909,0.108636,0.062727,0.639091,0.090000,0.316364,0.271818,0.490909,0.469545,0.330727,0.570636,0.415909,0.682273,0.772727,217.333197,0.110826,100750.818182,0.006185,0.001552,0.005691,0.013427,0.005115
0.570000,0.357167,0.248000,0.746000,0.250000,0.356667,0.295000,0.328333,0.138333,0.195000,0.285000,0.250000,0.138500,0.883333,0.030000,0.171667,0.103333,0.810000,0.085000,0.050000,0.423333,0.131667,0.078333,0.643333,0.106667,0.035000,0.023333,0.078333,0.426667,0.371500,0.597667,0.457167,0.685000,1.000000,244.742974,0.114832,104393.000000,0.006965,0.001747,0.006408,0.015121,0.005760
0.830000,0.547429,0.326286,0.714286,0.358571,0.545714,0.428571,0.494286,0.341429,0.445714,0.578571,0.359143,0.341286,0.715714,0.031429,0.198571,0.117143,0.814286,0.084286,0.051429,0.372857,0.147143,0.088571,0.600000,0.130000,0.288571,0.208571,0.437143,0.412857,0.394429,0.592429,0.472429,0.757143,0.571429,193.600797,0.096216,87469.428571,0.005510,0.001382,0.005069,0.011961,0.004557
0.750000,0.416667,0.135667,0.233333,0.226667,0.416667,0.286667,0.350000,0.216667,0.313333,0.446667,0.225000,0.217333,0.560000,0.050000,0.173333,0.103333,0.783333,0.100000,0.063333,0.366667,0.156667,0.090000,0.663333,0.126667,0.333333,0.260000,0.636667,0.710000,0.377333,0.582333,0.456333,0.763333,0.666667,194.556209,0.100112,91011.333333,0.005537,0.001389,0.005094,0.012021,0.004579
0.700000,0.300000,0.260000,1.000000,0.300000,0.300000,0.300000,0.300000,0.070000,0.130000,0.260000,0.300000,0.074000,0.000000,0.000000,0.030000,0.010000,0.730000,0.010000,0.010000,0.400000,0.020000,0.010000,0.640000,0.020000,0.000000,0.000000,0.000000,0.440000,0.198000,0.501000,0.284000,0.590000,0.000000,212.799711,0.126294,114813.000000,0.006056,0.001518,0.005572,0.013146,0.005008
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.040000,0.070000,0.000000,0.019000,0.000000,0.010000,0.050000,0.030000,1.000000,0.040000,0.020000,0.750000,0.050000,0.030000,1.000000,0.030000,0.330000,0.110000,0.500000,0.000000,0.235000,0.539000,0.328000,0.630000,0.000000,207.614354,0.118425,107659.000000,0.005909,0.001485,0.005437,0.012830,0.004888
0.400000,0.200000,0.037000,0.167000,0.200000,0.200000,0.200000,0.200000,0.240000,0.300000,0.350000,0.200000,0.235000,0.760000,0.040000,0.220000,0.140000,0.520000,0.100000,0.060000,0.230000,0.190000,0.120000,0.450000,0.290000,0.000000,0.000000,0.000000,0.000000,0.452000,0.670000,0.540000,0.640000,1.000000,182.501833,0.087961,79965.000000,0.005194,0.001302,0.004779,0.011274,0.004295
0.860000,0.476000,0.462333,1.000000,0.333333,0.473333,0.393333,0.440000,0.116667,0.206667,0.376667,0.333333,0.118667,0.170000,0.013333,0.103333,0.056667,0.880000,0.050000,0.030000,0.456667,0.083333,0.043333,0.710000,0.063333,0.000000,0.033333,0.000000,0.166667,0.330667,0.555667,0.414667,0.736667,0.333333,206.674464,0.116830,106209.333333,0.005882,0.001478,0.005412,0.012771,0.004865
0.710000,0.429000,0.286000,1.000000,0.300000,0.430000,0.350000,0.390000,0.070000,0.120000,0.240000,0.300000,0.066000,0.000000,0.010000,0.110000,0.060000,0.860000,0.040000,0.020000,0.300000,0.080000,0.040000,0.670000,0.060000,0.530000,0.100000,0.800000,0.330000,0.347000,0.653000,0.453000,0.670000,0.000000,222.181099,0.117414,106740.000000,0.006324,0.001589,0.005818,0.013731,0.005231
0.780000,0.222000,0.083000,0.500000,0.200000,0.220000,0.210000,0.220000,0.140000,0.230000,0.400000,0.200000,0.137000,0.840000,0.010000,0.180000,0.100000,0.810000,0.070000,0.040000,0.350000,0.140000,0.080000,0.630000,0.120000,0.590000,0.230000,0.600000,0.080000,0.382000,0.661000,0.484000,0.760000,1.000000,240.832718,0.121035,110032.000000,0.006854,0.001720,0.006306,0.014880,0.005669
