recall_triples,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,answer_relevancy,bleu_score,rouge_1_f1,rouge_1_precision,rouge_1_recall,rouge_2_f1,rouge_2_precision,rouge_2_recall,rouge_L_f1,rouge_L_precision,rouge_L_recall,non_llm_string_similarity,factual_correctness(mode=f1),factual_correctness(mode=precision),factual_correctness(mode=recall),faithfulness,bertscore_precision,bertscore_recall,bertscore_f1,semantic_similarity,instruction_following,runtime,llm_cost,llm_tokens,cpu_energy_consumption,gpu_energy_consumption,ram_energy_consumption,total_energy_consumption,emissions
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575060,0.122289,0.428434,0.475422,0.483976,0.260361,0.290241,0.296988,0.355663,0.399639,0.397590,0.318795,0.172651,0.186747,0.198434,0.295663,0.640699,0.654193,0.642554,0.686627,0.385542,90.311111,0.014691,13802.734940,0.002581,0.000644,0.002374,0.005599,0.002133
1.000000,0.200000,0.022200,0.022200,0.022000,0.200000,0.040000,0.076000,0.072000,0.132000,0.276000,0.022200,0.062200,0.666000,0.268000,0.628000,0.866000,0.550000,0.542000,0.786000,0.482000,0.576000,0.804000,0.504000,0.484000,0.732000,0.834000,0.684000,0.800000,0.850400,0.772800,0.805000,0.764000,1.000000,51.755714,0.008606,8075.000000,0.001473,0.000369,0.001355,0.003198,0.001218
0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.074000,0.130000,0.236000,0.000000,0.071200,0.728000,0.034000,0.280000,0.190000,0.638000,0.098000,0.060000,0.270000,0.244000,0.164000,0.570000,0.238000,0.234000,0.184000,0.234000,0.600000,0.562200,0.749600,0.641000,0.636000,0.600000,69.936212,0.013304,12458.600000,0.001991,0.000497,0.001831,0.004319,0.001646
0.250000,0.020833,0.002083,0.008333,0.009167,0.020833,0.012500,0.016667,0.054167,0.089167,0.141667,0.008333,0.048167,0.390000,0.040833,0.195000,0.240000,0.287500,0.109167,0.141667,0.156667,0.165000,0.210000,0.249167,0.155000,0.125000,0.155000,0.121667,0.285000,0.490667,0.527250,0.503000,0.486667,0.333333,76.884894,0.013427,13077.916667,0.002224,0.000549,0.002046,0.004819,0.001836
0.170000,0.005387,0.000613,0.003581,0.003548,0.005484,0.004194,0.004839,0.057097,0.083226,0.117097,0.003226,0.044516,0.484194,0.086452,0.380323,0.378387,0.508065,0.199355,0.200968,0.261935,0.289677,0.296129,0.382903,0.269032,0.185484,0.240000,0.197097,0.465161,0.618097,0.651516,0.629161,0.709677,0.258065,95.344650,0.015943,15062.548387,0.002727,0.000680,0.002509,0.005916,0.002254
0.110000,0.041625,0.005125,0.046000,0.052500,0.041250,0.045000,0.045000,0.058750,0.076250,0.093750,0.037500,0.053625,0.330000,0.046250,0.347500,0.362500,0.561250,0.163750,0.185000,0.246250,0.243750,0.272500,0.370000,0.222500,0.082500,0.093750,0.145000,0.495000,0.586000,0.644625,0.607500,0.681250,0.375000,107.303421,0.014912,13556.500000,0.003054,0.000765,0.002809,0.006628,0.002525
0.140000,0.047667,0.005667,0.040500,0.046667,0.046667,0.045000,0.048333,0.061667,0.083333,0.110000,0.033333,0.053333,0.563333,0.056667,0.373333,0.378333,0.560000,0.193333,0.220000,0.261667,0.298333,0.311667,0.420000,0.250000,0.170000,0.238333,0.190000,0.633333,0.594667,0.649667,0.614000,0.740000,0.500000,87.123874,0.014235,13449.666667,0.002480,0.000621,0.002281,0.005382,0.002050
0.330000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.125000,0.200000,0.000000,0.062000,0.470000,0.200000,0.450000,0.410000,0.645000,0.310000,0.290000,0.430000,0.365000,0.335000,0.530000,0.250000,0.505000,0.415000,0.415000,0.735000,0.632500,0.692000,0.658500,0.780000,0.500000,39.430995,0.010795,9814.000000,0.001122,0.000282,0.001033,0.002437,0.000928
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060000,0.090000,0.140000,0.000000,0.056000,1.000000,0.300000,0.500000,0.450000,0.560000,0.330000,0.300000,0.380000,0.500000,0.450000,0.560000,0.590000,0.000000,0.000000,0.000000,0.000000,0.810000,0.872000,0.840000,0.850000,1.000000,64.403667,0.008268,7516.000000,0.001833,0.000460,0.001687,0.003979,0.001516
0.100000,0.020000,0.002000,0.020000,0.020000,0.020000,0.020000,0.020000,0.053000,0.066000,0.084000,0.020000,0.049500,0.552000,0.112000,0.399000,0.441000,0.472000,0.220000,0.263000,0.258000,0.345000,0.393000,0.405000,0.330000,0.070000,0.133000,0.154000,0.554000,0.602400,0.651700,0.622300,0.642000,0.200000,112.189887,0.018091,16765.600000,0.003193,0.000800,0.002938,0.006931,0.002640
0.120000,0.035714,0.019857,0.158714,0.030000,0.034286,0.032857,0.034286,0.052857,0.072857,0.097143,0.028571,0.051286,0.675714,0.078571,0.410000,0.454286,0.434286,0.187143,0.212857,0.190000,0.321429,0.354286,0.350000,0.332857,0.200000,0.261429,0.174286,0.464286,0.646000,0.649286,0.645714,0.761429,0.571429,109.872013,0.018778,17202.142857,0.003127,0.000784,0.002877,0.006788,0.002586
