uid,question,golden_answer,source_ids,golden_doc_chunks,golden_triples,is_generated_with,topic_entity_id,topic_entity_value,hops,based_on_template,use_case,retrieval_operation,semi-typed,updated template,graph_representation,answer_format,answer_type,condition_type,used_in_reduced,notes
b64e49ec-3abc-42b5-9012-60966bcadb3d,In which venue has the paper with the title 'Availability-Driven Architectural Change Propagation Through Bidirectional Model Transformations Between UML and Petri Net Models' been published?,The paper 'Availability-Driven Architectural Change Propagation Through Bidirectional Model Transformations Between UML and Petri Net Models' has been published at the International Conference on Software Architecture (ICSA).,['10.1109/ICSA.2018.00022'],,"['(R872741:Availability-Driven Architectural Change Propagation Through Bidirectional Model Transformations Between UML and Petri Net Models, venue, R820814:International Conference on Software Architecture (ICSA))']",publication_subgraph_strategy,R659055,Software Architecture and Design,2,In which venue has the paper '[Metadata: paper title]' been published?,1,basic,True,In which venue has the paper with the title '[Metadata: paper title]' been published?,single fact,simple,named entity,named entity,True,
84cbf530-3718-49de-83b5-d00037cd1e22,In which venue has 'Reducing Development Overheads with a Generic and Model-Centric Architecture for Online Games' been published?,The paper 'Reducing Development Overheads with a Generic and Model-Centric Architecture for Online Games' has been published in the International Conference on Software Architecture (ICSA).,['10.1109/ICSA.2018.00011'],,"['(R873993:Reducing Development Overheads with a Generic and Model-Centric Architecture for Online Games, venue, R820814:International Conference on Software Architecture (ICSA))']",publication_subgraph_strategy,R873993,Reducing Development Overheads with a Generic and Model-Centric Architecture for Online Games,1,Where has the paper [Metadata: paper title] been published?,1,basic,False,In which venue has '[Metadata: paper title]' been published?,single fact,simple,named entity,named entity,False,
8d3634d4-0fb9-4095-bd2a-11128ad8c2ae,What is the replication package link of the paper with the title 'A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing'?,The replication package link of the paper 'A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing' is https://doi.org/10.5281/zenodo.1256467.,['10.1007/978-3-030-00761-4_11'],,"['(R872388:Evidence 1, Replication Package Link, L1528416:https://doi.org/10.5281/zenodo.1256467)']",clustering_strategy,R659055,Software Architecture and Design,3,What is the replication package link from the paper '[Metadata: paper title]'?,1,basic,True,What is the replication package link of the paper with the title '[Metadata: paper title]'?,single fact,simple,other,named entity,False,
a3aff0f4-e20a-4287-ae4e-27822591bfbc,What is the replication package link of 'Trace Link Recovery for Software Architecture Documentation'?,The replication package link of the paper 'Trace Link Recovery for Software Architecture Documentation' is https://doi.org/10.5281/zenodo.4730621.,['10.1007/978-3-030-86044-8_7'],,"['(R870187:Evidence 1, Replication Package Link, L1523846:https://doi.org/10.5281/zenodo.4730621)']",publication_subgraph_strategy,R870141,Trace Link Recovery for Software Architecture Documentation,2,What is the replication package link from the paper '[Metadata: paper title]'?,1,basic,False,What is the replication package link of '[Metadata: paper title]'?,single fact,simple,other,named entity,False,
f0a73775-fd47-493d-a885-2c6a2cb271a5,Who are the authors of the paper with the title 'A Taxonomy of Blockchain-Based Systems for Architecture Design'?,"The authors of the paper 'A Taxonomy of Blockchain-Based Systems for Architecture Design' are Liming Zhu, Jan Bosch, Xiwei Xu, Cesare Pautasso, Len Bass, Ingo Weber, Mark Staples, and Paul Rimba.","['10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33']",,"['(R873702:authors list, has list element, L1531055:Liming Zhu)', '(R873702:authors list, has list element, L1531056:Jan Bosch)', '(R873702:authors list, has list element, L1531052:Xiwei Xu)', '(R873702:authors list, has list element, L1531058:Cesare Pautasso)', '(R873702:authors list, has list element, L1531057:Len Bass)', '(R873702:authors list, has list element, L1531053:Ingo Weber)', '(R873702:authors list, has list element, L1531054:Mark Staples)', '(R873702:authors list, has list element, L1531059:Paul Rimba)']",publication_subgraph_strategy,R873701,A Taxonomy of Blockchain-Based Systems for Architecture Design,2,Who are the authors of the paper '[Metadata: paper title]'?,1,aggregation,True,Who are the authors of the paper with the title '[Metadata: paper title]'?,multi fact,enumerative,named entity,named entity,True,
c33791e7-d9e6-41ae-88c2-65201b5f80e3,Who are the authors of 'Butterfly Space: An Architectural Approach for Investigating Performance Issues'?,"The authors of the paper 'Butterfly Space: An Architectural Approach for Investigating Performance Issues' are Yutong Zhao, Lu Xiao, Zhifei Chen, Yang Liu, Xiao Wang, and Bihuan Chen.","['10.1109/ICSA47634.2020.00027', '10.1109/ICSA47634.2020.00027', '10.1109/ICSA47634.2020.00027', '10.1109/ICSA47634.2020.00027', '10.1109/ICSA47634.2020.00027', '10.1109/ICSA47634.2020.00027']",,"['(R873172:authors list, has list element, L1529962:Yutong Zhao)', '(R873172:authors list, has list element, L1529963:Lu Xiao)', '(R873172:authors list, has list element, L1529965:Zhifei Chen)', '(R873172:authors list, has list element, L1529967:Yang Liu)', '(R873172:authors list, has list element, L1529964:Xiao Wang)', '(R873172:authors list, has list element, L1529966:Bihuan Chen)']",publication_subgraph_strategy,R659055,Software Architecture and Design,3,Who are the authors of the paper '[Metadata: paper title]'?,1,aggregation,False,Who are the authors of '[Metadata: paper title]'?,multi fact,enumerative,named entity,named entity,False,
d76be764-526c-4b59-a8fa-a0239ca9923f,Which papers have the research level secondary research?,"The papers at the secondary research level are: 'Assessing Architecture Conformance to Coupling-Related Patterns and Practices in Microservices', 'Guidelines for Architecting Android Apps: A Mixed-Method Empirical Study', and 'On Interfaces to Support Agile Architecting in Automotive: An Exploratory Case Study'.","['10.1007/978-3-030-58923-3_1', '10.1109/ICSA.2019.00023', '10.1109/ICSA.2019.00025']",,"['(R874201:Research Level 1, research level, L1532107:Secondary Research)', '(R868858:Research Level 1, research level, L1521002:Secondary Research)', '(R869601:Research Level 1, research level, L1522588:Secondary Research)']",clustering_strategy,R659055,Software Architecture and Design,3,Which papers have the research level [Metadata: research level]?,1,aggregation,True,Which papers have the research level [Metadata: research level]?,multi fact,enumerative,named entity,named entity,False,
dc7ccc00-4d74-45c7-84fe-34edce2173b7,Which papers did Georg Buchgeher publish in 2017?,"The publication authored by Georg Buchgeher in the year 2017 is 'Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements'.","['10.1007/978-3-319-65831-5_11', '10.1007/978-3-319-65831-5_11']",,"['(R869393:authors list, has list element, L1522147:Georg Buchgeher)', '(R869392:Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements, publication year, L1522148:2017)']",clustering_strategy,R659055,Software Architecture and Design,3,Which publications have been published by the author [Metadata: author name] in the year [publication year]?,1,aggregation,False,Which papers did [Metadata: author name] publish in [Metadata: year]?,multi fact,enumerative,named entity,"named entity, temporal",False,
4bbdeb87-29d5-4ea2-9703-9f91b27ee413,How many papers have been published by the author Johannes Grohmann?,Johannes Grohmann has published two papers.,"['10.1109/ICSA.2019.00016', '10.1109/ICSA47634.2020.00011']",,"['(R872195:authors list, has list element, L1527978:Johannes Grohmann)', '(R870060:authors list, has list element, L1523562:Johannes Grohmann)']",clustering_strategy,R659055,Software Architecture and Design,3,How many papers have been published by the author [Metadata: author name]?,1,counting,True,How many papers have been published by the author [Metadata: author name]?,multi fact,simple,quantitative,named entity,True,
07c6aa20-9557-4a85-99e2-1948b88b54b5,How many papers did Manar Mazkatli publish?,Manar Mazkatli has published two papers.,"['10.1109/ICSA47634.2020.00011', '10.1109/ICSA51549.2021.00009']",,"['(R870060:authors list, has list element, L1523560:Manar Mazkatli)', '(R868699:authors list, has list element, L1520651:Manar Mazkatli)']",clustering_strategy,R659055,Software Architecture and Design,3,How many publications have been published by the author [Metadata: author name]?,1,counting,False,How many papers did [Metadata: author name] publish?,multi fact,simple,quantitative,named entity,False,
