uid,question,golden_answer,source_ids,golden_doc_chunks,golden_triples,is_generated_with,topic_entity_id,topic_entity_value,hops,based_on_template,use_case,retrieval_operation,semi-typed,updated template
b64e49ec-3abc-42b5-9012-60966bcadb3d,In which venue has the paper with the title 'Availability-Driven Architectural Change Propagation Through Bidirectional Model Transformations Between UML and Petri Net Models' been published?,The paper 'Availability-Driven Architectural Change Propagation Through Bidirectional Model Transformations Between UML and Petri Net Models' has been published at the International Conference on Software Architecture (ICSA).,['10.1109/ICSA.2018.00022'],,"['(R872741:Availability-Driven Architectural Change Propagation Through Bidirectional Model Transformations Between UML and Petri Net Models, venue, R820814:International Conference on Software Architecture (ICSA))']",publication_subgraph_strategy,R659055,Software Architecture and Design,2,In which venue has the paper '[paper_title]' been published?,1,basic,True,In which venue has the paper with the title '[paper title]' been published?
f0a73775-fd47-493d-a885-2c6a2cb271a5,Who are the authors of the paper with the title 'A Taxonomy of Blockchain-Based Systems for Architecture Design'?,"The authors of the paper 'A Taxonomy of Blockchain-Based Systems for Architecture Design' are Liming Zhu, Jan Bosch, Xiwei Xu, Cesare Pautasso, Len Bass, Ingo Weber, Mark Staples, and Paul Rimba.","['10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33', '10.1109/ICSA.2017.33']",,"['(R873702:authors list, has list element, L1531055:Liming Zhu)', '(R873702:authors list, has list element, L1531056:Jan Bosch)', '(R873702:authors list, has list element, L1531052:Xiwei Xu)', '(R873702:authors list, has list element, L1531058:Cesare Pautasso)', '(R873702:authors list, has list element, L1531057:Len Bass)', '(R873702:authors list, has list element, L1531053:Ingo Weber)', '(R873702:authors list, has list element, L1531054:Mark Staples)', '(R873702:authors list, has list element, L1531059:Paul Rimba)']",publication_subgraph_strategy,R873701,A Taxonomy of Blockchain-Based Systems for Architecture Design,2,Who are the authors of the paper '[paper_title]'?,1,aggregation,True,Who are the authors of the paper with the title '[paper title]'?
4bbdeb87-29d5-4ea2-9703-9f91b27ee413,How many papers have been published by the author Johannes Grohmann?,Johannes Grohmann has published two papers.,"['10.1109/ICSA.2019.00016', '10.1109/ICSA47634.2020.00011']",,"['(R872195:authors list, has list element, L1527978:Johannes Grohmann)', '(R870060:authors list, has list element, L1523562:Johannes Grohmann)']",clustering_strategy,R659055,Software Architecture and Design,3,How many papers have been published by the author [author name]?,1,counting,True,How many papers have been published by the author [author name]?
992b0b42-af08-47fc-98d7-0e77a41e5b21,Which papers have the paper class personal experience paper? Rank the papers in descending order of their publication year.,"The publications with the paper class personal experience, ranked in descending order by publication year, are: 1. Data-Centric Communication and Containerization for Future Automotive Software Architectures (2018); 2. Towards a Reference Architecture for Cloud-Based Plant Genotyping and Phenotyping Analysis Frameworks (2017).","['10.1109/ICSA.2017.42', '10.1109/ICSA.2017.42', '10.1109/ICSA.2018.00016', '10.1109/ICSA.2018.00016']",,"['(R872566:Paper Class 2, personal experience paper, L1528770:True)', '(R872527:Towards a Reference Architecture for Cloud-Based Plant Genotyping and Phenotyping Analysis Frameworks, publication year, L1528701:2017)', '(R872668:Paper Class 2, personal experience paper, L1528957:True)', '(R872636:Data-Centric Communication and Containerization for Future Automotive Software Architectures, publication year, L1528895:2018)']",clustering_strategy,R659055,Software Architecture and Design,3,Which publications have the paper class [paper class name] ranked by their publication year?,1,ranking,True,Which papers have the paper class [paper class name]? Rank the papers in descending order of their publication year.
ce7c8800-8719-4a5d-ad70-0750c6497852,In which publication year was the paper with the title 'Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles' published in comparison to the publication year of the paper with the title 'Designing Robust Software Systems through Parametric Markov Chain Synthesis'?,"The publication year of the paper with the title 'Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles' is 2019, which is later than the publication year of the paper with the title 'Designing Robust Software Systems through Parametric Markov Chain Synthesis', which is 2017.","['10.1109/ICSA.2019.00022', '10.1109/ICSA.2017.16']",,"['(R873775:Continuous Architecture: Towards the Goldilocks Zone and Away from Vicious Circles, publication year, L1531203:2019)', '(R868403:Designing Robust Software Systems through Parametric Markov Chain Synthesis, publication year, L1520024:2017)']",publication_subgraph_strategy,R659055,Software Architecture and Design,2,"In which publication year has the paper with the title '[paper title 1]' been published, in comparison to the publication year of the paper with the title '[paper title 2]'?",1,comparative,True,In which publication year was the paper with the title '[paper title]' published in comparison to the publication year of the paper with the title '[paper title]'?
f8065845-5047-47df-8dd4-ccebdf902dee,How many papers did the author Konstantinos Plakidas publish per publication year?,"Konstantinos Plakidas has published three papers in the following years: 2021, 2020, and 2019. Therefore, the distribution of papers published per year is as follows: one paper in 2021, one paper in 2020, and one paper in 2019, resulting in a total of three papers over three years, which is one paper per year.","['10.1109/ICSA51549.2021.00012', '10.1109/ICSA51549.2021.00012', '10.1007/978-3-030-58923-3_1', '10.1007/978-3-030-58923-3_1', '10.1007/978-3-030-29983-5_2', '10.1007/978-3-030-29983-5_2']",,"['(R869265:authors list, has list element, L1521867:Konstantinos Plakidas)', '(R869264:Semi-automatic Feedback for Improving Architecture Conformance to Microservice Patterns and Practices, publication year, L1521869:2021)', '(R869567:authors list, has list element, L1522516:Konstantinos Plakidas)', '(R869566:Assessing Architecture Conformance to Coupling-Related Patterns and Practices in Microservices, publication year, L1522519:2020)', '(R872981:authors list, has list element, L1529592:Konstantinos Plakidas)', '(R872980:Supporting Architectural Decision Making on Data Management in Microservice Architectures, publication year, L1529596:2019)']",clustering_strategy,R659055,Software Architecture and Design,3,How many papers did the author [author name] publish per year?,1,relationship,True,How many papers did the author [author name] publish per publication year?
b90770f5-fce7-4aeb-b264-b958fec510ba,Does the paper with the title 'Data-Driven Software Architecture for Analyzing Confidentiality' make its tool support available?,"Yes, the paper with the title 'Data-Driven Software Architecture for Analyzing Confidentiality' does make its tool support available.",['10.1109/ICSA.2019.00009'],,"['(R873692:Tool Support, available, L1531022:True)']",publication_subgraph_strategy,R659055,Software Architecture and Design,4,Does the paper with the title '[paper title]' make its tool support available?,2,basic,True,Does the paper with the title '[paper title]' make its tool support available?
eedac22d-3e07-4029-8bda-5c612992a5cf,What are the evaluation methods applied in the paper with the title 'Continuous Analysis of Collaborative Design'?,"The evaluation methods of the paper 'Continuous Analysis of Collaborative Design' are Questionnaire, Controlled Experiment, and Technical Experiment.","['10.1109/ICSA.2017.45', '10.1109/ICSA.2017.45', '10.1109/ICSA.2017.45']",,"['(R872853:Evaluation Method Entity, Name, L1529335:Questionnaire)', '(R872855:Evaluation Method Entity, Name, L1529336:Controlled Experiment)', '(R872862:Evaluation Method Entity, Name, L1529342:Technical Experiment)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,What are the names of the evaluation methods used in the paper with the title'[paper title]'?,2,aggregation,True,What are the evaluation methods applied in the paper with the title '[paper title]'?
01eda5c4-cd52-423f-aac8-30301a4b19e2,How many threats to validity does the paper with the title 'DesignDiff: Continuously Modeling Software Design Difference from Code Revisions' discuss?,The number of threats to validity discussed in the paper with the title 'DesignDiff: Continuously Modeling Software Design Difference from Code Revisions' is two.,"['10.1109/ICSA47634.2020.00025', '10.1109/ICSA47634.2020.00025']",,"['(R869480:Threat to Validity, internal validity, L1522322:True)', '(R869480:Threat to Validity, construct validity, L1522320:True)']",publication_subgraph_strategy,R659055,Software Architecture and Design,4,How many threats to validity does the paper with the title '[paper title]' have?,2,counting,True,How many threats to validity does the paper with the title '[paper title]' discuss?
fcad33f8-09fc-4c67-a44a-495cf93be0c0,Which properties were evaluated in the paper with the title 'Monolith Migration Complexity Tuning Through the Application of Microservices Patterns'? Rank the properties in descending alphabetical order.,"The properties that were evaluated in the paper with the title 'Monolith Migration Complexity Tuning Through the Application of Microservices Patterns' are Satisfaction and Functional Suitability, ranked in descending alphabetical order.","['10.1007/978-3-030-58923-3_3', '10.1007/978-3-030-58923-3_3']",,"['(R872514:Property, Name, L1528664:Satisfaction)', '(R872512:Property, Name, L1528662:Functional Suitability)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,Which sub-properties were evaluated in the paper with the title '[paper title]'? Rank them in descending alphabetical order.,2,ranking,True,Which properties were evaluated in the paper with the title '[paper title]'? Rank the properties in descending alphabetical order.
